price,sqrt,location,bhk,Gymnasium,Lift Available,CarParking,Maintenance Staff,Swimming Pool
12500000.0,1500.0,mira road east,3.0,0,1,1,0,0
23000000.0,1250.0,andheri  west,2.0,1,0,0,0,1
5760000.0,625.0,thane west,1.0,1,1,1,0,1
25500000.0,1650.0,goregaon west,3.0,0,1,1,0,1
8500000.0,980.0,mira road east,2.0,1,1,0,0,1
7320000.0,746.0,thane west,1.0,1,1,0,0,1
9500000.0,650.0,borivali west,1.0,0,1,0,0,0
6500000.0,450.0,malad west,1.0,0,0,0,0,0
8600000.0,900.0,thane west,2.0,1,1,1,0,1
250000000.0,4200.0,hanuman nagar,5.0,0,1,1,1,0
14800000.0,581.0,mulund east,2.0,0,0,0,0,0
10000000.0,1100.0,kalyan west,2.0,1,1,0,1,1
6800000.0,1050.0,kalyan west,2.0,0,1,0,0,0
17300000.0,845.0,kandivali east,2.0,1,1,1,0,1
16500000.0,1100.0,ghansoli,2.0,1,1,0,0,0
4300000.0,750.0,unknown,1.0,1,1,1,0,0
4500000.0,645.0,mira road east,1.0,1,1,1,0,1
11700000.0,550.0,shreyas colony,1.0,0,1,1,1,0
5500000.0,650.0,ulwe,1.0,0,1,0,0,0
2800000.0,565.0,naigaon east,1.0,1,1,1,0,0
31000000.0,1672.0,malad east,3.0,1,1,1,1,1
3100000.0,450.0,unknown,1.0,0,0,0,1,0
9500000.0,1190.0,kharghar,2.0,1,1,0,0,1
16000000.0,1200.0,dahisar,2.0,1,1,0,0,0
3700000.0,550.0,taloja,1.0,1,0,1,0,1
9500000.0,1026.0,thane west,2.0,1,1,1,1,1
32550000.0,1485.0,chembur east,3.0,0,1,0,1,0
3700000.0,335.0,unknown,1.0,0,1,0,0,0
14900000.0,1200.0,malad east,1.0,0,0,1,1,0
10900000.0,598.0,thane west,2.0,1,1,1,0,1
6700000.0,1200.0,panvel,2.0,1,1,1,0,1
5600000.0,950.0,vasai west,2.0,0,1,0,0,0
27500000.0,840.0,vile parle west,2.0,0,1,0,0,0
24500000.0,1300.0,samata nagar,3.0,0,1,1,1,0
10000000.0,1180.0,ulwe,2.0,1,1,0,1,1
41500000.0,1850.0,andheri  west,3.0,1,1,1,0,1
26000000.0,1050.0,sen nagar,2.0,0,1,0,0,0
5000000.0,600.0,sector 22 kamothe,1.0,0,0,1,1,0
25500000.0,1113.0,andheri  east,3.0,1,0,1,0,1
8400000.0,1055.0,panvel,2.0,1,1,1,0,1
21500000.0,1264.0,bhandup west,3.0,1,1,0,0,0
26000000.0,1125.0,sen nagar,2.0,0,0,0,0,0
13000000.0,775.0,bhandup west,1.0,1,1,1,0,1
4140999.0,650.0,ulwe,1.0,0,1,0,0,0
8323999.0,1051.0,kalwa,2.0,0,1,0,0,1
2100000.0,700.0,karjat,1.0,0,1,0,0,0
8800000.0,1185.0,ulwe,2.0,1,0,1,0,1
22500000.0,1050.0,andheri  west,2.0,1,1,0,0,1
2200000.0,540.0,kharegaon,1.0,0,1,0,0,0
15000000.0,990.0,dahisar west,2.0,0,0,0,0,0
6400000.0,670.0,kharghar,1.0,1,1,1,0,1
34800000.0,750.0,ville parle west,2.0,1,1,0,0,1
6400000.0,1150.0,taloja,2.0,1,1,0,0,0
11500000.0,1182.0,sector 11 belapur,2.0,0,0,1,1,0
3424000.0,818.0,titwala,2.0,0,1,0,0,0
4300000.0,650.0,kharghar,1.0,0,1,1,1,0
6900000.0,1130.0,kalyan west,2.0,1,1,0,0,0
2350000.0,594.0,nala sopara,1.0,0,0,1,1,0
7000000.0,448.0,panch pakhadi,1.0,0,0,1,1,0
2700000.0,572.0,nala sopara,1.0,1,1,1,0,1
21000000.0,900.0,shimpoli,2.0,0,0,0,0,0
9167000.0,686.0,panvel,1.0,1,1,1,0,1
5600000.0,610.0,sector 20 kharghar,1.0,0,0,1,1,0
30000000.0,1800.0,andheri  west,4.0,1,1,1,0,0
9000000.0,535.0,kandivali east,1.0,0,1,1,1,0
13000000.0,1100.0,nerul,2.0,0,0,1,0,0
10500000.0,660.0,powai,1.0,0,0,0,0,0
5325000.0,325.0,borivali west,1.0,0,1,0,0,0
11000000.0,1060.0,kharghar,2.0,0,0,1,0,0
8100000.0,1134.0,mira road east,2.0,1,1,0,0,1
5550000.0,600.0,vasai west,2.0,0,0,0,0,0
60000000.0,1634.0,unknown,3.0,1,0,1,1,1
2100000.0,450.0,sector-26 taloja,1.0,1,1,0,0,1
9700000.0,560.0,borivali west,1.0,1,1,0,0,1
6146500.0,1350.0,virar,3.0,1,1,0,0,0
6000000.0,1070.0,taloja,2.0,0,0,1,1,0
55000000.0,2160.0,juhu,3.0,0,1,0,0,0
4200000.0,1005.0,koproli,2.0,1,0,0,0,0
5999000.0,969.0,thane west,2.0,1,1,1,0,1
8000000.0,732.0,panvel,2.0,1,1,1,0,1
13200000.0,1525.0,mira road east,2.0,1,0,1,1,0
6000000.0,945.0,kalyan west,2.0,0,1,0,0,0
28000000.0,1350.0,samata nagar thakur village,3.0,0,1,0,1,0
8900000.0,600.0,borivali west,1.0,0,0,0,0,0
36500000.0,965.0,bandra kurla complex,3.0,0,1,1,1,1
12600000.0,850.0,thane west,2.0,1,1,0,0,1
3200000.0,610.0,naigaon east,1.0,1,1,0,0,1
75100000.0,2100.0,goregaon east,3.0,1,1,0,0,1
9500000.0,1260.0,sector 19 kharghar,2.0,1,1,1,1,0
2600000.0,585.0,nala sopara,1.0,0,0,1,1,0
9000000.0,925.0,unknown,2.0,1,1,1,0,1
7500000.0,600.0,airoli,1.0,0,1,0,0,0
16000000.0,890.0,krishanlal marwah marg,2.0,0,0,1,0,0
5500000.0,600.0,unknown,1.0,1,1,1,1,0
5200000.0,580.0,mira bhayandar,1.0,0,1,1,1,0
7700000.0,1046.0,mira road east,2.0,1,1,0,0,0
2800000.0,635.0,taloja,1.0,0,1,1,1,0
8650000.0,571.0,malad west,1.0,1,1,1,0,1
4045000.0,910.0,virar,2.0,1,1,1,0,1
29000000.0,1160.0,mulund west,3.0,1,0,0,0,0
8650000.0,350.0,malad west,1.0,0,1,0,0,0
6990000.0,450.0,unknown,1.0,1,1,0,0,1
2600000.0,740.0,nala sopara,1.0,0,1,1,1,0
17000000.0,1760.0,kopar khairane sector 19a,3.0,0,1,1,1,0
4700000.0,1017.0,bhiwandi,2.0,1,1,1,0,1
7500000.0,550.0,kannamwar nagar ii,1.0,0,1,1,1,0
35000000.0,867.0,santacruz west,2.0,0,1,0,0,0
2400000.0,575.0,nala sopara,1.0,1,1,1,0,1
2100000.0,529.0,vangani,1.0,0,0,0,0,0
12700000.0,1290.0,thane west,3.0,1,1,1,0,1
5000000.0,504.0,sector 12 kharghar,1.0,0,1,0,1,0
9200000.0,1150.0,unknown,2.0,1,1,0,0,1
13000000.0,960.0,malad east,1.0,0,0,0,0,0
3500000.0,770.0,naigaon east,2.0,0,1,0,0,0
15200000.0,1662.0,thane west,3.0,1,1,0,0,1
14100000.0,1650.0,ulwe,3.0,1,1,0,0,0
6000000.0,650.0,mira road,1.0,1,1,1,0,1
110000000.0,2590.0,andheri  west,3.0,1,1,1,0,1
46000000.0,1040.0,lower parel,1.0,0,1,0,0,1
55000000.0,1225.0,khar west,3.0,0,0,0,0,0
3750000.0,1050.0,badlapur east,2.0,1,1,0,0,0
4200000.0,635.0,kalyan west,1.0,1,1,1,1,1
14000000.0,1600.0,kharghar,3.0,1,1,1,1,1
22500000.0,768.0,andheri  west,2.0,0,0,0,0,0
10400000.0,503.0,mira road east,2.0,0,1,0,0,0
9200000.0,1310.0,kamothe,3.0,1,0,1,1,0
3110000.0,715.0,virar,1.0,1,0,0,0,0
11700000.0,840.0,malad west,2.0,1,1,1,0,0
4400000.0,550.0,panvel,1.0,0,0,0,0,0
12000000.0,675.0,unknown,1.0,0,1,1,1,0
18500000.0,1000.0,chembur,2.0,0,0,1,0,0
8200000.0,650.0,malad west,1.0,1,1,1,1,1
6000000.0,735.0,kharghar,1.0,1,1,1,1,1
6500000.0,670.0,ghansoli,1.0,0,1,0,0,0
5600000.0,549.0,kharghar,1.0,1,1,1,1,1
15500000.0,1000.0,kandivali east,2.0,1,1,0,0,1
19000000.0,721.0,kandivali west,2.0,0,1,0,0,0
16000000.0,2020.0,unknown,3.0,1,1,1,0,1
3800000.0,657.0,bhiwandi,1.0,1,1,0,0,1
25500000.0,1750.0,kandivali east,3.0,1,1,1,0,1
8000000.0,1375.0,unknown,3.0,1,0,1,1,0
17000000.0,950.0,borivali east,2.0,0,0,0,0,0
8400000.0,650.0,malad west,1.0,1,1,0,0,1
8500000.0,1045.0,kamothe,2.0,1,1,0,0,1
10900000.0,727.0,unknown,2.0,1,1,0,0,1
5200000.0,679.0,unknown,1.0,0,0,0,0,0
65500000.0,1344.0,andheri  west,3.0,1,1,1,0,1
5990000.0,902.0,thane west,2.0,1,1,1,0,1
16600000.0,1650.0,kharghar,3.0,1,1,1,1,1
3250000.0,600.0,kalyan west,1.0,1,1,0,0,1
22500000.0,1330.0,goregaon east,3.0,0,0,0,0,0
11900000.0,538.0,sion,1.0,1,1,1,0,0
6500000.0,650.0,thane west,1.0,1,1,1,0,1
22200000.0,960.0,andheri  west,2.0,1,1,0,0,1
10500000.0,700.0,tolaram colony,2.0,1,1,1,1,0
25000000.0,700.0,malad east,2.0,1,1,1,0,1
3300000.0,679.0,unknown,1.0,0,1,0,0,0
54000000.0,2095.0,kandivali east,4.0,1,1,1,0,1
15200000.0,1250.0,thane west,3.0,1,1,1,0,1
12000000.0,1450.0,ulwe,3.0,0,0,0,0,0
9300000.0,1100.0,kavesar,2.0,0,0,1,1,0
7850000.0,712.0,ghatkopar west,1.0,1,1,1,0,1
8100000.0,1060.0,mira road east,2.0,1,1,0,0,1
7020000.0,426.0,mira road east,1.0,1,1,1,0,1
8500000.0,450.0,santacruz east,1.0,0,1,0,0,0
4700000.0,675.0,panvel,1.0,1,1,0,0,1
4850000.0,900.0,ambernath east,2.0,1,1,0,0,1
13000000.0,1433.0,kharghar,3.0,0,1,1,1,0
10000000.0,1125.0,kharghar,2.0,1,1,0,0,1
9500000.0,852.0,kharghar,2.0,1,1,1,0,1
13000000.0,2455.0,ghansoli,4.0,1,1,1,0,1
2445000.0,585.0,nala sopara,1.0,0,1,1,1,0
2625000.0,675.0,badlapur,1.0,1,1,1,0,0
8500000.0,380.0,jawahar nagar,1.0,0,1,1,1,0
22000000.0,1125.0,seawoods,1.0,1,0,1,1,1
16000000.0,902.0,unknown,2.0,0,1,1,1,0
3000000.0,545.0,nalasopara west,1.0,0,0,1,0,0
