title,price,area,price_per_sqft,locality,city,property_type,bedroom_num,bathroom_num,furnished,total_floors,new_latitude,new_longitude,new_pincode
Romell Allure,10300000,507,20315.581854043394,Borivali,Mumbai,Apartment,1,2,Unfurnished,1,19.2289066,72.8619537,400091
Romell Allure,16600000,705,23546.09929078014,Borivali,Mumbai,Apartment,2,2,Unfurnished,1,19.2289066,72.8619537,400091
A And O F Residences,18500000,812,22783.251231527094,Malad,Mumbai,Apartment,2,2,Unfurnished,1,19.1908703,72.8613052,400064
Apex Green Wood,9100000,481,18918.91891891892,Borivali,Mumbai,Apartment,1,2,Unfurnished,1,19.2228622,72.8588333,400091
Umiya Oasis,6900000,715,9650.34965034965,Mira Road,Mumbai,Apartment,1,2,Semi-Furnished,1,19.2860432,72.8702316,401107
Jadeite Charkop Nandanvan CHSL,8900000,520,17115.384615384617,Kandivali,Mumbai,Apartment,1,2,Unfurnished,1,19.2146683,72.8237152,400067
Param Agarwal Florence,20000000,728,27472.527472527472,Goregaon,Mumbai,Apartment,2,2,Unfurnished,1,19.1601009,72.8477249,400062
Param Agarwal Florence,30000000,1015,29556.65024630542,Goregaon,Mumbai,Apartment,3,3,Unfurnished,1,19.1601009,72.8477249,400062
 ,12400000,850,14588.235294117647,Kalwa,Mumbai,Apartment,2,2,Semi-Furnished,1,19.20751,73.0098267,400605
 ,6800000,680,10000.0,Kalwa,Mumbai,Apartment,1,2,Semi-Furnished,1,19.20751,73.0098267,400605
 ,13600000,1098,12386.15664845173,Kalwa,Mumbai,Apartment,2,2,Semi-Furnished,1,19.20751,73.0098267,400605
 ,6200000,650,9538.461538461539,Kalwa,Mumbai,Apartment,1,1,Unfurnished,1,19.20751,73.0098267,400605
 ,8500000,930,9139.78494623656,Kalwa,Mumbai,Apartment,2,2,Semi-Furnished,1,19.20751,73.0098267,400605
 ,10700000,845,12662.721893491123,Thane,Mumbai,Apartment,2,2,Unfurnished,1,19.2281399,72.9774323,400601
Reputed Builder Panch Pakhadi,16600000,1175,14127.659574468085,Thane,Mumbai,Apartment,3,3,Unfurnished,1,19.2092075,72.949707,400601
 ,13000000,1250,10400.0,Kalwa,Mumbai,Apartment,3,2,Semi-Furnished,1,19.20751,73.0098267,400605
Sanghvi Ecocity,9100000,900,10111.111111111111,Mira Road,Mumbai,Apartment,2,2,Semi-Furnished,1,19.2667351,72.8799972,401107
Milan Lekh Rekha Pragati,11125000,499,22294.589178356713,Andheri,Mumbai,Apartment,1,2,Unfurnished,1,19.1270065,72.8389206,400053
Sanghvi Ecocity,7700000,675,11407.407407407407,Mira Road,Mumbai,Apartment,1,2,Semi-Furnished,1,19.2667351,72.8799972,401107
Sagarom Soham Heights,8000000,503,15904.572564612326,Kandivali,Mumbai,Apartment,1,2,Unfurnished,1,19.2081127,72.8314056,400067
UK Iridium,9000000,507,17751.479289940828,Kandivali,Mumbai,Apartment,1,2,Unfurnished,1,19.2002621,72.8664932,400067
Satellite Aarambh A Group Satellite Initiative,5900000,352,16761.363636363636,Malad,Mumbai,Apartment,1,2,Unfurnished,1,19.1871071,72.8505707,400064
Satellite Aarambh A Group Satellite Initiative,6100000,398,15326.633165829146,Malad,Mumbai,Apartment,1,2,Unfurnished,1,19.1871071,72.8505707,400064
Shree Alampata,4600000,802,5735.660847880299,Taloja,Mumbai,Apartment,2,2,Unfurnished,1,19.07967,73.0991974,410208
Shree Alampata,3300000,605,5454.545454545455,Taloja,Mumbai,Apartment,1,2,Unfurnished,1,19.07967,73.0991974,410208
 ,3500000,672,5208.333333333333,Taloje,Mumbai,Apartment,1,2,Unfurnished,1,19.0742989,73.1165924,410208
Sarvoday Onyx,5100000,520,9807.692307692309,Kalyan,Mumbai,Apartment,1,1,Unfurnished,1,19.2523861,73.1255722,421301
Sarvoday Patwardhan Baug,5800000,790,7341.772151898735,Thane,Mumbai,Apartment,2,2,Unfurnished,1,19.2281399,72.9774323,400601
 ,5500000,933,5894.962486602358,Taloje,Mumbai,Apartment,2,2,Unfurnished,1,19.0742989,73.1165924,410208
Gami Amar Harmony,4100000,720,5694.444444444444,Taloja,Mumbai,Apartment,1,1,Unfurnished,1,19.0731211,73.0953789,410208
 ,3500000,720,4861.111111111111,Taloje,Mumbai,Apartment,1,2,Furnished,1,19.0742989,73.1165924,410208
Imperial Crest,6200000,1020,6078.431372549019,Taloja,Mumbai,Apartment,2,2,Unfurnished,1,19.0729732,73.1035385,410208
